"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"1",1,"Auburn University","Alabama",54400,104500,51,31,"Alabama","AL","Public","4 Year",13332,11276,24608,30524,43856
"2",2,"University of Alabama in Huntsville","Alabama",57500,103900,59,45,"Alabama","AL","Public","4 Year",10094,10714,20808,22362,32456
"3",3,"The University of Alabama","Alabama",52300,97400,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Tuskegee University","Alabama",54500,93500,61,30,"Alabama","AL","Private","4 Year",9650,22170,31820,22170,31820
"5",5,"Samford University","Alabama",48400,90500,52,3,"Alabama","AL","Private","4 Year",10550,31650,42200,31650,42200
"6",6,"Spring Hill College","Alabama",46600,89100,53,12,"Alabama","AL","Private","4 Year",13462,39464,52926,39464,52926
"7",7,"Birmingham Southern College","Alabama",49100,88300,48,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"University of Alabama at Birmingham","Alabama",48600,87200,57,17,"Alabama","AL","Public","4 Year",6400,10710,17110,24630,31030
"9",9,"University of South Alabama","Alabama",47700,86400,56,17,"Alabama","AL","Public","4 Year",7620,9870,17490,19740,27360
"10",10,"Alabama A&M University","Alabama",48700,83500,58,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Troy University","Alabama",44500,81500,60,8,"Alabama","AL","Public","4 Year",8185,12460,20645,22875,31060
"12",12,"Jacksonville State University","Alabama",43800,80000,61,7,"Alabama","AL","Public","4 Year",8100,10425,18525,20145,28245
"13",13,"Auburn University at Montgomery","Alabama",45000,79600,61,12,"Alabama","AL","Public","4 Year",6980,10288,17268,22048,29028
"14",14,"Huntingdon College","Alabama",42400,78900,69,14,"Alabama","AL","Private","4 Year",9750,27400,37150,27400,37150
"15",15,"Oakwood University","Alabama",43500,78800,71,16,"Alabama","AL","Private","4 Year",9312,16720,26032,16720,26032
"16",15,"Athens State University","Alabama",45000,78800,51,9,"Alabama","AL","Public","4 Year",NA,6810,6810,12870,12870
"17",17,"University of West Alabama","Alabama",42700,76100,61,4,"Alabama","AL","Public","4 Year",8116,10040,18156,18490,26606
"18",18,"University of North Alabama","Alabama",43000,75600,61,6,"Alabama","AL","Public","4 Year",9200,10370,19570,18680,27880
"19",19,"University of Mobile","Alabama",40600,74100,77,7,"Alabama","AL","Private","4 Year",9600,22820,32420,22820,32420
"20",20,"Alabama State University","Alabama",39800,71500,61,16,"Alabama","AL","Public","4 Year",5422,11068,16490,19396,24818
"21",21,"Faulkner University","Alabama",39400,71300,61,2,"Alabama","AL","Private","4 Year",7750,21690,29440,21690,29440
"22",22,"University of Montevallo","Alabama",38900,70700,49,7,"Alabama","AL","Public","4 Year",9330,12760,22090,25780,35110
"23",23,"Judson College","Alabama",37900,67600,65,13,"Alabama","AL","Private","4 Year",10590,18510,29100,18510,29100
"24",24,"Amridge University","Alabama",35700,65900,NA,0,"Alabama","AL","Private","4 Year",NA,6900,6900,6900,6900
"25",25,"Miles College","Alabama",34800,65100,64,19,"Alabama","AL","Private","4 Year",7042,11604,18646,11604,18646
"26",1,"University of Alaska Fairbanks","Alaska",59100,101800,54,20,"Alaska","AK","Public","4 Year",8930,8087,17017,24257,33187
"27",2,"University of Alaska Anchorage","Alaska",56000,101000,57,10,"Alaska","AK","Public","4 Year",12200,7688,19888,23858,36058
"28",3,"Alaska Pacific University","Alaska",50300,90000,67,6,"Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130
"29",1,"Embry-Riddle Aeronautical University-Prescott","Arizona",65600,117900,59,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2,"University of Arizona","Arizona",56100,101000,51,23,"Arizona","AZ","Public","4 Year",12550,12487,25037,36386,48936
"31",3,"Arizona State University-Tempe","Arizona",54500,100900,52,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",4,"Northern Arizona University","Arizona",49600,90000,56,12,"Arizona","AZ","Public","4 Year",10282,11564,21846,25828,36110
"33",5,"Arizona Christian University","Arizona",42600,76600,NA,7,"Arizona","AZ","Private","4 Year",10674,26796,37470,26796,37470
"34",6,"Ottawa University-Phoenix","Arizona",42000,74600,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",7,"Prescott College","Arizona",41200,73500,69,0,"Arizona","AZ","Private","4 Year",7700,31485,39185,31485,39185
"36",1,"University of Arkansas","Arkansas",52500,98000,49,18,"Arkansas","AR","Public","4 Year",11020,9130,20150,25168,36188
"37",2,"Hendrix College","Arkansas",48100,90300,58,33,"Arkansas","AR","Private","4 Year",12284,45790,58074,45790,58074
"38",3,"University of Arkansas for Medical Sciences","Arkansas",51700,89100,84,3,"Arkansas","AR","Public","4 Year",NA,8197,8197,15973,15973
"39",4,"Harding University","Arkansas",49200,88600,47,10,"Arkansas","AR","Private","4 Year",7044,20135,27179,20135,27179
"40",5,"John Brown University","Arkansas",47000,82700,53,9,"Arkansas","AR","Private","4 Year",9224,26928,36152,26928,36152
"41",6,"Arkansas State University-Main Campus","Arkansas",44600,81400,52,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",7,"University of Arkansas at Little Rock","Arkansas",45600,80800,55,13,"Arkansas","AR","Public","4 Year",8930,8966,17896,21206,30136
"43",8,"Ouachita Baptist University","Arkansas",44100,80200,58,18,"Arkansas","AR","Private","4 Year",7880,26790,34670,26790,34670
"44",9,"Southern Arkansas University Main Campus","Arkansas",42800,80100,56,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",10,"Henderson State University","Arkansas",42900,79800,57,5,"Arkansas","AR","Public","4 Year",7504,8436,15940,10086,17590
"46",10,"University of Central Arkansas","Arkansas",44900,79800,52,8,"Arkansas","AR","Public","4 Year",6854,8751,15605,15274,22128
"47",12,"University of Arkansas at Monticello","Arkansas",43500,78300,61,2,"Arkansas","AR","Public","4 Year",6824,7696,14520,13546,20370
"48",13,"Arkansas Tech University","Arkansas",45000,76900,54,7,"Arkansas","AR","Public","4 Year",7870,9068,16938,15848,23718
"49",14,"University of the Ozarks","Arkansas",42300,74500,58,16,"Arkansas","AR","Private","4 Year",7400,24230,31630,24230,31630
"50",15,"Lyon College","Arkansas",41200,74300,53,33,"Arkansas","AR","Private","4 Year",9130,28790,37920,28790,37920
"51",16,"University of Arkansas-Fort Smith","Arkansas",40700,71100,55,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",17,"University of Arkansas at Pine Bluff","Arkansas",40500,70500,67,22,"Arkansas","AR","Public","4 Year",7881,7842,15723,14094,21975
"53",18,"Central Baptist College","Arkansas",36900,68000,NA,3,"Arkansas","AR","Private","4 Year",7500,16200,23700,16200,23700
"54",19,"Philander Smith College","Arkansas",34600,61200,NA,26,"Arkansas","AR","Private","4 Year",8250,12414,20664,12414,20664
"55",1,"Harvey Mudd College","California",88800,158200,55,85,"California","CA","Private","4 Year",18127,56876,75003,56876,75003
"56",2,"Samuel Merritt University","California",91200,154100,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3,"California Institute of Technology","California",84100,151600,53,97,"California","CA","Private","4 Year",15525,52362,67887,52362,67887
"58",4,"Stanford University","California",79000,145200,56,51,"California","CA","Private","4 Year",15763,51354,67117,51354,67117
"59",5,"Charles R Drew University of Medicine and Science","California",78300,135700,NA,3,"California","CA","Private","4 Year",NA,17440,17440,17440,17440
"60",6,"Santa Clara University","California",69900,134700,44,29,"California","CA","Private","4 Year",14910,51711,66621,51711,66621
"61",7,"University of California-Berkeley","California",70700,131800,49,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",8,"California State University Maritime Academy","California",70500,129600,57,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",9,"Claremont McKenna College","California",68500,125400,43,16,"California","CA","Private","4 Year",16705,54405,71110,54405,71110
"64",10,"University of California-San Diego","California",63400,123700,52,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",11,"University of Southern California","California",64500,120600,47,23,"California","CA","Private","4 Year",15395,56225,71620,56225,71620
"66",12,"California Polytechnic State University-San Luis Obispo","California",65600,119500,51,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",13,"Pomona College","California",63800,117200,47,37,"California","CA","Private","4 Year",16716,52780,69496,52780,69496
"68",14,"University of California-Santa Barbara","California",59700,116300,47,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",15,"University of California-Los Angeles","California",62000,116100,48,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",16,"University of California-Irvine","California",59600,116000,49,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",17,"San Jose State University","California",63000,114700,53,28,"California","CA","Public","4 Year",16442,7796,24238,17300,33742
"72",18,"Loyola Marymount University","California",58500,113300,39,9,"California","CA","Private","4 Year",14490,48522,63012,48522,63012
"73",19,"University of California-Davis","California",61500,112600,52,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",20,"Menlo College","California",61900,112400,59,0,"California","CA","Private","4 Year",14225,42800,57025,42800,57025
"75",21,"California State Polytechnic University-Pomona","California",57700,110800,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",21,"Saint Mary's College of California","California",59900,110800,51,5,"California","CA","Private","4 Year",15370,47280,62650,47280,62650
"77",23,"University of San Francisco","California",60600,109900,52,6,"California","CA","Private","4 Year",14830,48066,62896,48066,62896
"78",24,"Golden Gate University-San Francisco","California",59200,109800,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",25,"University of San Diego","California",58900,109400,48,12,"California","CA","Private","4 Year",12980,49358,62338,49358,62338
"80",1,"Colorado School of Mines","Colorado",75600,139600,60,93,"Colorado","CO","Public","4 Year",13169,18964,32133,38584,51753
"81",2,"United States Air Force Academy","Colorado",76300,138100,69,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",3,"University of Colorado Boulder","Colorado",57800,109900,48,39,"Colorado","CO","Public","4 Year",14418,12532,26950,37286,51704
"83",4,"University of Denver","Colorado",55700,105100,48,12,"Colorado","CO","Private","4 Year",13005,50556,63561,50556,63561
"84",5,"Colorado College","Colorado",53100,97900,48,23,"Colorado","CO","Private","4 Year",12512,55470,67982,55470,67982
"85",6,"Colorado State University-Fort Collins","Colorado",53500,96100,51,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",7,"University of Colorado Denver/Anschutz Medical Campus","Colorado",53200,95600,52,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",8,"Regis University","Colorado",55500,94800,58,13,"Colorado","CO","Private","4 Year",11560,36810,48370,36810,48370
"88",9,"University of Colorado Colorado Springs","Colorado",52200,90900,53,21,"Colorado","CO","Public","4 Year",10500,10463,20963,24893,35393
"89",10,"Colorado State University-Pueblo","Colorado",48100,87600,62,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",11,"Metropolitan State University of Denver","Colorado",49400,87200,51,11,"Colorado","CO","Public","4 Year",NA,7665,7665,20847,20847
"91",12,"University of Northern Colorado","Colorado",47700,87100,52,7,"Colorado","CO","Public","4 Year",11204,9786,20990,21474,32678
"92",13,"Fort Lewis College","Colorado",48300,82600,55,19,"Colorado","CO","Public","4 Year",9878,9040,18918,19696,29574
"93",14,"Western State Colorado University","Colorado",44800,81500,47,19,"Colorado","CO","Public","4 Year",9635,10114,19749,21586,31221
"94",14,"Colorado Mesa University","Colorado",47800,81500,55,7,"Colorado","CO","Public","4 Year",10925,9243,20168,22440,33365
"95",16,"Adams State University","Colorado",44400,81400,56,3,"Colorado","CO","Public","4 Year",8782,9440,18222,20456,29238
"96",17,"Colorado Christian University","Colorado",46800,80100,70,2,"Colorado","CO","Private","4 Year",11846,31866,43712,31866,43712
"97",18,"Johnson & Wales University-Denver","Colorado",41500,74800,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",19,"Nazarene Bible College","Colorado",33600,60100,NA,0,"Colorado","CO","Private","4 Year",NA,14700,14700,14700,14700
"99",1,"Yale University","Connecticut",70300,138300,53,22,"Connecticut","CT","Private","4 Year",16000,53430,69430,53430,69430
"100",2,"United States Coast Guard Academy","Connecticut",67300,118100,68,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",3,"Wesleyan University","Connecticut",61600,117000,53,21,"Connecticut","CT","Private","4 Year",15060,54914,69974,54914,69974
"102",4,"Fairfield University","Connecticut",62300,116900,41,17,"Connecticut","CT","Private","4 Year",14710,48350,63060,48350,63060
"103",5,"Trinity College","Connecticut",60100,110900,49,22,"Connecticut","CT","Private","4 Year",14750,56910,71660,56910,71660
"104",6,"University of Connecticut","Connecticut",59100,105200,48,24,"Connecticut","CT","Public","4 Year",12874,15730,28604,38098,50972
"105",7,"University of Hartford","Connecticut",55200,101600,53,15,"Connecticut","CT","Private","4 Year",12476,40694,53170,40694,53170
"106",8,"Connecticut College","Connecticut",57500,100800,36,30,"Connecticut","CT","Private","4 Year",15150,54820,69970,54820,69970
"107",9,"Sacred Heart University","Connecticut",55000,100500,46,15,"Connecticut","CT","Private","4 Year",15310,41420,56730,41420,56730
"108",10,"Quinnipiac University","Connecticut",55900,97700,46,10,"Connecticut","CT","Private","4 Year",14540,47960,62500,47960,62500
"109",11,"University of New Haven","Connecticut",52100,94800,52,25,"Connecticut","CT","Private","4 Year",15900,39270,55170,39270,55170
"110",12,"Central Connecticut State University","Connecticut",53100,93700,45,15,"Connecticut","CT","Public","4 Year",12176,10616,22792,21856,34032
"111",13,"University of Bridgeport","Connecticut",49900,93600,59,31,"Connecticut","CT","Private","4 Year",13860,32850,46710,32850,46710
"112",14,"University of Saint Joseph","Connecticut",49900,88800,63,9,"Connecticut","CT","Private","4 Year",11428,39173,50601,39173,50601
"113",15,"Western Connecticut State University","Connecticut",51700,88100,50,6,"Connecticut","CT","Public","4 Year",13072,10819,23891,22059,35131
"114",16,"St Vincent's College","Connecticut",46800,87900,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",17,"Eastern Connecticut State University","Connecticut",49200,87800,43,14,"Connecticut","CT","Public","4 Year",13560,11356,24916,22596,36156
"116",18,"Charter Oak State College","Connecticut",49200,85900,68,2,"Connecticut","CT","Public","4 Year",NA,10161,10161,13101,13101
"117",18,"Albertus Magnus College","Connecticut",49700,85900,62,2,"Connecticut","CT","Private","4 Year",13200,32060,45260,32060,45260
"118",20,"Southern Connecticut State University","Connecticut",48500,83600,51,6,"Connecticut","CT","Public","4 Year",12860,10875,23735,22115,34975
"119",1,"University of Delaware","Delaware",58600,105400,43,22,"Delaware","DE","Public","4 Year",12862,13680,26542,34310,47172
"120",2,"Goldey-Beacom College","Delaware",49800,86900,42,25,"Delaware","DE","Private","4 Year",6400,24300,30700,24300,30700
"121",3,"Delaware State University","Delaware",46300,81900,62,10,"Delaware","DE","Public","4 Year",12190,7868,20058,16904,29094
"122",4,"Wesley College","Delaware",45400,77300,50,2,"Delaware","DE","Private","4 Year",11717,26406,38123,26406,38123
"123",5,"Wilmington University","Delaware",45100,76600,50,4,"Delaware","DE","Private","4 Year",NA,11210,11210,11210,11210
"124",1,"Embry-Riddle Aeronautical University-Daytona Beach","Florida",63300,111200,58,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2,"Polytechnic University of Puerto Rico-Miami","Florida",60600,108300,61,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",3,"Florida Institute of Technology","Florida",58300,105400,53,48,"Florida","FL","Private","4 Year",12880,41850,54730,41850,54730
"127",4,"University of Florida","Florida",55800,102800,52,29,"Florida","FL","Public","4 Year",10120,6381,16501,28658,38778
"128",5,"Polytechnic University of Puerto Rico-Orlando","Florida",57600,102200,66,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",6,"University of Miami","Florida",56200,99600,48,22,"Florida","FL","Private","4 Year",14108,50226,64334,50226,64334
"130",7,"Embry-Riddle Aeronautical University-Worldwide","Florida",55800,96800,67,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",8,"Florida State University","Florida",50800,92700,49,18,"Florida","FL","Public","4 Year",10816,6516,17332,21683,32499
"132",9,"The University of Tampa","Florida",49200,91500,48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",10,"University of South Florida-Main Campus","Florida",49700,91300,49,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",11,"Florida Atlantic University","Florida",49400,91200,51,15,"Florida","FL","Public","4 Year",11896,6039,17935,21595,33491
"135",12,"Jacksonville University","Florida",50100,90400,66,5,"Florida","FL","Private","4 Year",14080,36670,50750,36670,50750
"136",13,"Florida International University","Florida",49600,90100,51,16,"Florida","FL","Public","4 Year",10882,6558,17440,18956,29838
"137",14,"Adventist University of Health Sciences","Florida",51600,89800,88,5,"Florida","FL","Private","4 Year",4200,15150,19350,15150,19350
"138",14,"Nova Southeastern University","Florida",50200,89800,60,9,"Florida","FL","Private","4 Year",13250,30900,44150,30900,44150
"139",16,"University of Central Florida","Florida",49700,88600,50,16,"Florida","FL","Public","4 Year",9617,6368,15985,22467,32084
"140",17,"Eckerd College","Florida",49200,88400,52,25,"Florida","FL","Private","4 Year",12588,44540,57128,44540,57128
"141",18,"Rollins College","Florida",49000,87000,53,7,"Florida","FL","Private","4 Year",14735,49760,64495,49760,64495
"142",19,"University of North Florida","Florida",48800,86600,51,11,"Florida","FL","Public","4 Year",9976,6394,16370,20112,30088
"143",20,"New College of Florida","Florida",47300,86500,40,4,"Florida","FL","Public","4 Year",9264,6919,16183,29944,39208
"144",21,"Stetson University","Florida",47000,86000,44,7,"Florida","FL","Private","4 Year",13052,46030,59082,46030,59082
"145",22,"Lynn University","Florida",46100,85000,45,2,"Florida","FL","Private","4 Year",12170,38210,50380,38210,50380
"146",23,"St Thomas University","Florida",47400,84500,57,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",24,"Barry University","Florida",47400,84400,66,12,"Florida","FL","Private","4 Year",11100,29850,40950,29850,40950
"148",25,"Florida Agricultural and Mechanical University","Florida",48000,83900,62,8,"Florida","FL","Public","4 Year",10594,5827,16421,17768,28362
"149",1,"Georgia Institute of Technology-Main Campus","Georgia",72700,133400,48,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2,"Emory University","Georgia",62000,110800,44,20,"Georgia","GA","Private","4 Year",14456,51306,65762,51306,65762
"151",3,"University of Georgia","Georgia",54400,100700,45,14,"Georgia","GA","Public","4 Year",10038,11830,21868,30404,40442
"152",4,"Morehouse College","Georgia",55700,98700,58,26,"Georgia","GA","Private","4 Year",13438,27574,41012,27574,41012
"153",5,"Kennesaw State University","Georgia",52500,94600,46,22,"Georgia","GA","Public","4 Year",11467,7432,18899,21158,32625
"154",6,"Oglethorpe University","Georgia",52400,91400,50,12,"Georgia","GA","Private","4 Year",13200,38100,51300,38100,51300
"155",7,"Georgia State University","Georgia",50600,90800,47,18,"Georgia","GA","Public","4 Year",11378,10858,22236,29432,40810
"156",8,"Georgia Southern University","Georgia",49000,88000,49,17,"Georgia","GA","Public","4 Year",10070,7422,17492,20904,30974
"157",9,"University of North Georgia","Georgia",47300,85600,51,8,"Georgia","GA","Public","4 Year",7876,7336,15212,21148,29024
"158",10,"Spelman College","Georgia",50200,85400,52,24,"Georgia","GA","Private","4 Year",13865,29314,43179,29314,43179
"159",11,"Mercer University","Georgia",48500,85100,62,14,"Georgia","GA","Private","4 Year",11616,36894,48510,36894,48510
"160",12,"Berry College","Georgia",44900,84900,44,21,"Georgia","GA","Private","4 Year",12770,36556,49326,36556,49326
"161",13,"Augusta University","Georgia",47000,84400,69,10,"Georgia","GA","Public","4 Year",9640,10758,20398,29796,39436
"162",14,"Agnes Scott College","Georgia",46000,83600,57,26,"Georgia","GA","Private","4 Year",12330,41160,53490,41160,53490
"163",15,"University of West Georgia","Georgia",46700,82700,51,9,"Georgia","GA","Public","4 Year",10918,7292,18210,20774,31692
"164",16,"Armstrong State University","Georgia",46600,81500,60,10,"Georgia","GA","Public","4 Year",11385,6384,17769,19866,31251
"165",17,"Clayton  State University","Georgia",46400,81200,54,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",18,"Clark Atlanta University","Georgia",46300,81100,54,15,"Georgia","GA","Private","4 Year",9524,23436,32960,23436,32960
"167",19,"Valdosta State University","Georgia",43400,81000,57,7,"Georgia","GA","Public","4 Year",8110,7476,15586,20958,29068
"168",20,"Georgia College & State University","Georgia",45300,80300,51,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",21,"Savannah College of Art and Design","Georgia",46800,80100,34,3,"Georgia","GA","Private","4 Year",14550,36630,51180,36630,51180
"170",22,"Shorter University","Georgia",45600,79900,55,6,"Georgia","GA","Private","4 Year",9400,22370,31770,22370,31770
"171",23,"Middle Georgia State University","Georgia",44000,79800,57,11,"Georgia","GA","Public","4 Year",9080,4608,13688,13568,22648
"172",24,"Covenant College","Georgia",44400,79400,62,19,"Georgia","GA","Private","4 Year",10260,34330,44590,34330,44590
"173",25,"Columbus State University","Georgia",43300,77900,59,10,"Georgia","GA","Public","4 Year",9880,7200,17080,20682,30562
"174",1,"Brigham Young University-Hawaii","Hawaii",51700,93900,57,12,"Hawaii","HI","Private","4 Year",6586,5560,12146,5560,12146
"175",2,"Hawaii Pacific University","Hawaii",52200,93500,56,15,"Hawaii","HI","Private","4 Year",14800,25980,40780,25980,40780
"176",3,"University of Hawaii at Manoa","Hawaii",51600,91600,56,18,"Hawaii","HI","Public","4 Year",13689,11970,25659,34002,47691
"177",4,"Chaminade University of Honolulu","Hawaii",45400,84000,55,3,"Hawaii","HI","Private","4 Year",13630,25374,39004,25374,39004
"178",5,"University of Hawaii at Hilo","Hawaii",44000,77200,59,14,"Hawaii","HI","Public","4 Year",11406,7720,19126,20680,32086
"179",6,"University of Hawaii-West Oahu","Hawaii",41300,74300,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",1,"University of Idaho","Idaho",52300,97700,54,22,"Idaho","ID","Public","4 Year",8880,7864,16744,25500,34380
"181",2,"Brigham Young University-Idaho","Idaho",53700,93500,59,14,"Idaho","ID","Private","4 Year",4592,4118,8710,4118,8710
"182",3,"Idaho State University","Idaho",50800,91800,64,12,"Idaho","ID","Public","4 Year",7207,7420,14627,22940,30147
"183",4,"Boise State University","Idaho",50100,86400,55,14,"Idaho","ID","Public","4 Year",10692,7694,18386,23776,34468
"184",5,"The College of Idaho","Idaho",44700,82100,48,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",6,"Northwest Nazarene University","Idaho",46200,80600,68,7,"Idaho","ID","Private","4 Year",7400,29300,36700,29300,36700
"186",7,"Lewis-Clark State College","Idaho",44900,77600,60,5,"Idaho","ID","Public","4 Year",7580,6618,14198,19236,26816
"187",1,"Illinois Institute of Technology","Illinois",64600,118500,47,64,"Illinois","IL","Private","4 Year",12762,47296,60058,47296,60058
"188",2,"Northwestern University","Illinois",63400,115400,46,20,"Illinois","IL","Private","4 Year",16626,54567,71193,54567,71193
"189",3,"University of Illinois at Urbana-Champaign","Illinois",62600,115300,44,36,"Illinois","IL","Public","4 Year",11308,15094,26402,31664,42972
"190",4,"University of Chicago","Illinois",64000,114200,41,22,"Illinois","IL","Private","4 Year",16350,58230,74580,58230,74580
"191",5,"Rush University","Illinois",63500,107600,88,6,"Illinois","IL","Private","4 Year",NA,24900,24900,24900,24900
"192",6,"Bradley University","Illinois",55600,104900,46,38,"Illinois","IL","Private","4 Year",10620,33760,44380,33760,44380
"193",7,"University of Illinois at Chicago","Illinois",56300,103800,48,31,"Illinois","IL","Public","4 Year",12074,13764,25838,26980,39054
"194",8,"DePaul University","Illinois",55700,102900,43,15,"Illinois","IL","Private","4 Year",14235,39975,54210,39975,54210
"195",9,"Lake Forest College","Illinois",55400,102600,46,21,"Illinois","IL","Private","4 Year",10390,47064,57454,47064,57454
"196",10,"St. John's College-Department of Nursing","Illinois",55100,1e+05,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",11,"Wheaton College (Illinois)","Illinois",53700,99700,55,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",12,"Illinois Wesleyan University","Illinois",53100,96000,44,18,"Illinois","IL","Private","4 Year",10984,47636,58620,47636,58620
"199",12,"Loyola University Chicago","Illinois",53400,96000,45,15,"Illinois","IL","Private","4 Year",14480,44048,58528,44048,58528
"200",14,"Northern Illinois University","Illinois",53000,95500,47,20,"Illinois","IL","Public","4 Year",10880,12262,23142,12262,23142
"201",15,"Knox College","Illinois",50600,95400,45,24,"Illinois","IL","Private","4 Year",9870,46554,56424,46554,56424
"202",16,"Illinois State University","Illinois",51200,95000,47,10,"Illinois","IL","Public","4 Year",9850,14516,24366,26040,35890
"203",17,"Principia College","Illinois",52600,94900,56,19,"Illinois","IL","Private","4 Year",11610,29470,41080,29470,41080
"204",18,"Lakeview College of Nursing","Illinois",55000,94100,83,0,"Illinois","IL","Private","4 Year",NA,16320,16320,16320,16320
"205",19,"North Central College","Illinois",50400,92900,45,9,"Illinois","IL","Private","4 Year",11019,38880,49899,38880,49899
"206",20,"Saint Xavier University","Illinois",49400,91200,60,10,"Illinois","IL","Private","4 Year",11340,33880,45220,33880,45220
"207",21,"Southern Illinois University-Carbondale","Illinois",49700,90900,54,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",22,"Saint Francis Medical Center College of Nursing","Illinois",52800,90800,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",23,"Methodist College","Illinois",51400,90500,NA,0,"Illinois","IL","Private","4 Year",7440,20800,28240,20800,28240
"210",24,"Southern Illinois University-Edwardsville","Illinois",51400,90100,50,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",25,"Lewis University","Illinois",49700,89800,53,14,"Illinois","IL","Private","4 Year",10578,32450,43028,32450,43028
"212",1,"Rose-Hulman Institute of Technology","Indiana",75000,135800,51,96,"Indiana","IN","Private","4 Year",14766,49871,64637,49871,64637
"213",2,"University of Notre Dame","Indiana",67000,130500,45,28,"Indiana","IN","Private","4 Year",15410,53391,68801,53391,68801
"214",3,"Wabash College","Indiana",62200,114400,40,34,"Indiana","IN","Private","4 Year",10050,43450,53500,43450,53500
"215",4,"Purdue University-Main Campus","Indiana",60900,110000,48,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",5,"DePauw University","Indiana",56600,101000,47,24,"Indiana","IN","Private","4 Year",13020,49704,62724,49704,62724
"217",6,"Trine University","Indiana",55100,100300,56,26,"Indiana","IN","Private","4 Year",10810,32175,42985,32175,42985
"218",7,"Butler University","Indiana",51800,99300,53,9,"Indiana","IN","Private","4 Year",13830,41120,54950,41120,54950
"219",8,"Valparaiso University","Indiana",53300,98000,52,31,"Indiana","IN","Private","4 Year",11860,40260,52120,40260,52120
"220",9,"Indiana University-Bloomington","Indiana",53600,97100,47,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",10,"Taylor University","Indiana",48700,90600,59,16,"Indiana","IN","Private","4 Year",9614,34114,43728,34114,43728
"222",11,"University of Evansville","Indiana",50300,89900,54,17,"Indiana","IN","Private","4 Year",12460,36416,48876,36416,48876
"223",12,"Saint Mary's College","Indiana",49700,89300,54,15,"Indiana","IN","Private","4 Year",12580,42220,54800,42220,54800
"224",13,"Earlham College","Indiana",49100,88400,57,31,"Indiana","IN","Private","4 Year",10400,46450,56850,46450,56850
"225",14,"Indiana University-Purdue University-Indianapolis","Indiana",50500,88200,55,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",15,"Holy Cross College","Indiana",48100,87800,NA,0,"Indiana","IN","Private","4 Year",11500,30820,42320,30820,42320
"227",16,"Franklin College","Indiana",48900,86200,45,21,"Indiana","IN","Private","4 Year",9946,32010,41956,32010,41956
